"key","message","comment","context"
"<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> The scheduler service is disabled.","","",""
"Access error","Ошибка доступа","",""
"Action","Действие","",""
"Action Menu","Меню действия","",""
"Action Menus","Меню действий","",""
"Action name can't be changed.","Название действия нельзя изменить.","",""
"Actions","","",""
"Activate on","Активировать на","",""
"Activate the user from the specified date.","Активировать пользователя с указанной даты.","",""
"Active","Активный","",""
"Address","Адрес","",""
"Administration","Администрирование","",""
"All Actions","","",""
"All Charts","","",""
"All Custom Views","","",""
"All Documents","","",""
"All Menu Help","","",""
"All Menus","","",""
"All Models","","",""
"All Modules","","",""
"All Schedules","","",""
"All Selects","","",""
"All Teams","","",""
"All Translations","","",""
"All View Help","","",""
"All Views","","",""
"All jobs have been restarted.","","",""
"All the customizations will be lost. Are you sure?","Все изменения будут утеряны. Ты уверен ?","",""
"All views have been restored (%s).","","",""
"Allow","Разрешить","",""
"Amber","","",""
"An unique permission name.","Уникальное имя разрешения.","",""
"Application","Приложение","",""
"Archived","Аривированно","",""
"Assigned to","","",""
"Attached to","","",""
"Attributes","Атрибуты","",""
"Attrs","Атрибуты","",""
"Author","Автор","",""
"Authorization","Авторизация","",""
"Authorized roles","Authorized roles","",""
"Black","Черный","",""
"Block the user","Заблокировать пользователя","",""
"Block the user for an indefinite period.","Заблокировать пользователя на неопределенный срок.","",""
"Blue","","",""
"Body","","",""
"Boolean","","",""
"Brown","","",""
"Button","","",""
"Calendar","Календарь","",""
"Can read","","",""
"Can share","","",""
"Can write","","",""
"Canceled","Отменено","",""
"Cannot delete a task while scheduler is running...","","",""
"Cards","Карточки","",""
"Category","Категории","",""
"Category name to group action menus.","","",""
"Change password?","Изменить пароль?","",""
"Chart","Диаграмма","",""
"Client side js expression","Выражение js на стороне клиента","",""
"Closed","Закрыто","",""
"Code","Код","",""
"Code length should be greater than 2.","Длина кода должна быть больше 2","",""
"Collapse","Свернуть","",""
"Color","Цвет","",""
"Column sequence","Последовательность столбцов","",""
"Come back later. There are no messages in this folder...","Возвращайтесь позже. В этой папке нет сообщений ...","",""
"Comma separated list of params for the condition.","Разделенный запятыми список параметров для условий. ","",""
"Comment","Коментарий","",""
"Computed","Вычислено","",""
"Concurrent updates error","Ошибка одновременных обновлений","",""
"Condition","Условие","",""
"Condition params","Параметры условия","",""
"Condition to check","Проверка условия","",""
"Conditions","Условия","",""
"Configuration","Конфигурация","",""
"Confirm password","Подтвердить пароль","",""
"Content","Содержание","",""
"Content type","Тип содержания","",""
"Context field","Контекстное поле","",""
"Context field target","Назначение контекстного поля","",""
"Context field target name","Имя назначения контекстного поля","",""
"Context field title","Заголовок контекстного поля","",""
"Context field value","Значение контекстного поля","",""
"Create","Создать","",""
"Created","Создано","",""
"Created by","Создано","",""
"Created on","Создано","",""
"Cron","","",""
"Current password","Текущий пароль","",""
"Custom","","",""
"Custom Fields","","",""
"Custom Models","","",""
"Custom field","","",""
"Custom fields","","",""
"Custom model","","",""
"Custom models","","",""
"Custom-ManyToMany","","",""
"Custom-ManyToOne","","",""
"Custom-OneToMany","","",""
"Cyan","Голубой","",""
"Dashboard","приборная панель","",""
"Data","Данные","",""
"Date","Дата","",""
"DateTime","Дата/Время","",""
"Decimal","Целое","",""
"Deep Orange","","",""
"Deep Purple","","",""
"Default","По умолчанию","",""
"Default home action.","Действие по умолчанию.","",""
"Default value","Значение по умолчанию","",""
"Dependent features","","",""
"Dependent modules","","",""
"Depends","","",""
"Depends On","","",""
"Description","Описание","",""
"Details","Детали","",""
"Directories","Директории","",""
"Directory","Директория","",""
"Disable the user from the specified date.","Отключить пользователя с указанной даты.","",""
"Document","Документ","",""
"Documents","Документы","",""
"Domain","Домен","",""
"Domain filter as condition.","Фильтр домена как условие.","",""
"Download","Загрузить","",""
"Email","Email","",""
"Encryption error","Ошибка шифрования","",""
"Encryption key might be wrong.","Ключ шифрования может быть поврежден.","",""
"English","Английский","",""
"Enum","","",""
"Enum type","","",""
"Expires on","","",""
"Export","Экспорт","",""
"Export complete.","Экспорт завершен","",""
"Extension","Расширение","",""
"Favorite","Основной","",""
"Favorites","Основные","",""
"Field","Поле","",""
"Field is required.","Поле, обязательное для заполнения.","",""
"Fields","Поля","",""
"File","Файл","",""
"File added","Файл добавлен","",""
"File name","Имя файла","",""
"File path","Путь файла","",""
"File removed","Файл удален","",""
"File type","Тип файла","",""
"Files","Файлы","",""
"Filter custom","Пользовательский фильтр","",""
"Filter files","Фильтровать файлы","",""
"Filter view","Фильтровать виды","",""
"Filters","Фильтры","",""
"Flags","Признаки","",""
"Following modules will be installed : <p>%s</p> Are you sure ?","","",""
"Following modules will be uninstalled : <p>%s</p> Are you sure ?","","",""
"Force password change","","",""
"Force the user to change their password at next login.","","",""
"Form","","",""
"Form record","","",""
"Form records","","",""
"Form view","","",""
"Form width","","",""
"French","","",""
"From","","",""
"Fullname","Полное имя","",""
"Fully qualified object name or wild card package name.","","",""
"Gantt","","",""
"General","","",""
"Green","","",""
"Grey","","",""
"Grid","","",""
"Grid view","","",""
"Group","Группа","",""
"Group by","Группировать","",""
"Groups","Группы","",""
"Help","Помощь","",""
"Help Management","Управление помощью","",""
"Help link","","",""
"Hidden","Скрыто","",""
"Hidden menu","Скрытое меню","",""
"Hide if","Скрыть если","",""
"High","Высокий","",""
"Home action","","",""
"Icon","Иконка","",""
"Icon background","Фон иконки","",""
"Important","Важный","",""
"In Progress","Выполнение","",""
"Inbox","Входящие","",""
"Inbox is empty!","Входящих нет ","",""
"Include if","Включить, если","",""
"Increment","Инкремент","",""
"Indigo","","",""
"Information","Информация","",""
"Initial","Начальная","",""
"Inline","В соответствии","",""
"Install","","",""
"Install module","","",""
"Installed","","",""
"Integer","Целое","",""
"Internal Server Error","","",""
"Invalid XML.","","",""
"Invalid cron :","","",""
"Invalid field value.","","",""
"Invalid permission","","",""
"Invalid use of action-record: %s, must be the last action.","","",""
"Inverse","Обратный","",""
"Is archived","","",""
"Is directory","","",""
"Is read","","",""
"Is starred","","",""
"Items","Предметы","",""
"Job","Работа","",""
"Job Management","Управление работой","",""
"Job has been updated.","Работа обновлена.","",""
"Json","JSON","",""
"Json model","JSON модель","",""
"Kanban","","",""
"Key","Ключ","",""
"Label","Этикетка","",""
"Language","Язык","",""
"Last modified","Последнее изменение","",""
"Last password update date","Дата последнего обновления пароля","",""
"Left menu","Левое меню","",""
"Light Blue","","",""
"Light Green","","",""
"Lime","","",""
"Link","","",""
"Login","Вход","",""
"Low","","",""
"Mail","Почта","",""
"ManyToMany","","",""
"ManyToOne","","",""
"Mapped by","","",""
"Max","Максимально","",""
"Max size","","",""
"Max size 4MB.","","",""
"Members","Участники","",""
"Menu","Меню","",""
"Menu Help","","",""
"Menu Item","","",""
"Menu Items","","",""
"Menu background","","",""
"Menu icon","","",""
"Menu order","","",""
"Menu parent","","",""
"Menu title","","",""
"Menu top","","",""
"Menus","","",""
"Message","Сообщение","",""
"Meta file","","",""
"Meta model","","",""
"Meta permission","","",""
"MetaScheduleParam","","",""
"Min","Минимально","",""
"Min size","","",""
"Mobile menu","","",""
"Model","","",""
"Model Management","","",""
"Model field","","",""
"Models","","",""
"Modified","","",""
"Module","","",""
"Module Management","","",""
"Module to check","","",""
"Modules","","",""
"My Documents","Мои документы","",""
"My Teams","Мои Команды","",""
"My open tasks","Мои открытые задачи","",""
"Name","Имя","",""
"Name field","","",""
"Name length should be greater than 2.","","",""
"Navigation","Навигация","",""
"New","Новый","",""
"New password","Новый пароль","",""
"Next","Следующий","",""
"No archived messages!","","",""
"No help","","",""
"No important messages!","","",""
"Normal","Нормальный","",""
"Object","","",""
"Object name","","",""
"On change","","",""
"On click","","",""
"On new","","",""
"On save","","",""
"OneToMany","","",""
"OneToOne","","",""
"Only if","Только если","",""
