"key","message","comment","context"
"%d days","%d дней","",""
"%d hours","%d часов","",""
"%d minutes","%d минут","",""
"%d months","%d месяцев","",""
"%d years","%d лет","",""
"%s ago","%d назад","",""
"(end)","(конец)","",""
"(start)","(начало)","",""
"({0} items)","","",""
"A server error occurred. Please contact the administrator.","","",""
"About","","",""
"Action","","",""
"Action Category","","",""
"Action Sub-Category","","",""
"Active Users","Активные пользователи","",""
"Adblocker detected!","","",""
"Add","Добавить","",""
"Add Field","","",""
"Add filter","","",""
"Add followers","","",""
"Add some tags","Добавить теги","",""
"Add to favorites...","Добавить в избранное...","",""
"Advanced Search","Расширенный поиск","",""
"Alert","Тревога","",""
"All Day","Все дни","",""
"Apply","Применить","",""
"Apr","апр","",""
"April","апрель","",""
"Archive","Архив","",""
"Are you sure to unfollow this document?","Вы действительно хотите отписаться ?","",""
"Are you sure to unfollow this group?","Вы действительно хотите отписаться ?","",""
"Are you sure you want to delete the {0} selected documents?","Вы действительно хотите удалить выбранные документы ({0})?","",""
"Are you sure you want to delete {0}?","Вы действительно хотите удалить {0}?","",""
"Attached to...","Прикреплен к...","",""
"Attachments","Вложения","",""
"Attributes","Атрибуты","",""
"Aug","авг","",""
"August","август","",""
"Back","Назад","",""
"Background color","Цвет фона","",""
"Blockquote","Цитата","",""
"Bold (Ctrl+B)","Жирный","",""
"Calendar","Календарь","",""
"Cancel","Отмена","",""
"Cancelled","Отменяется","",""
"Cards","Открытки","",""
"Center","Центр","",""
"Change password","Изменить пароль","",""
"Chart","Диаграмма","",""
"Clear","Очистить","",""
"Click or drop image","Щелкните или отпустите изображение","",""
"Close","Закрыть","",""
"Close All","Закрыть все","",""
"Close Others","Закрыть другие","",""
"Code","Код","",""
"Concurrent updates error","","",""
"Confirm","Подтвердить","",""
"Confirm password","Подтвердить пароль","",""
"Confirm password doesn't match.","","",""
"Create","Создать","",""
"Create ""{0}"" and select...","Создать ""{0}"" и выбрать...","",""
"Create ""{0}""...","Создать ""{0}""...","",""
"Create document","Создать документ","",""
"Create folder","Создать папку","",""
"Create spreadsheet","Создать таблицу","",""
"Create...","Создать...","",""
"Created","Создано","",""
"Created By:","Создано:","",""
"Created On:","Создано:","",""
"Current changes will be lost.","Текущие изменения будут потеряны.","",""
"Current changes will be lost. Do you really want to proceed?","Текущие изменения будут потеряны. Вы действительно хотите продолжить?","",""
"Current password","Текущий пароль","",""
"Custom ({0})","Пользовательский ({0})","",""
"Customize...","Настроить ...","",""
"Day","День","",""
"Days","Дни","",""
"Dec","дек","",""
"December","декабрь","",""
"Delete","Удалить","",""
"Delete...","Удалить...","",""
"Description","Описание","",""
"Details","Детали","",""
"Directory","Директория","",""
"Do you really want to archive the selected record(s)?","","",""
"Do you really want to archive the selected record?","","",""
"Do you really want to delete the selected record(s)?","","",""
"Do you really want to delete the selected record?","","",""
"Do you really want to unarchive the selected record(s)?","","",""
"Do you really want to unarchive the selected record?","","",""
"Do you really want to update all {0} record(s)?","","",""
"Document","Документ","",""
"Domain","Домен","",""
"Done","Готово","",""
"Download","Загрузить","",""
"Downloading {0}...","Загружается {0}","",""
"Drop your files to start upload.","Бросьте файлы, чтобы начать загрузку.","",""
"Duplicate","Дублировать","",""
"Duration","Продолжительность","",""
"Edit","Редактировать","",""
